state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_RI,enrollmetric,pp_stloc_raw_RI,pp_fed_raw_RI,pp_total_raw_RI,schoolstloc_raw_RI,schoolfed_raw_RI,schooltot_raw_RI,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
RI,2018-2019,41,28614,Achievement First Rhode Island,Achievement First Iluminar Mayoral Academy,4400021,4400021,,440002100495.0,462.0,KG-04,2.0,464.195767195767,ADM,11546.78,801.82,14926.55,5359966.40074074,372201.45005291,6928841.32883597,17603.96114,0,0,1,0,0,0,0
RI,2018-2019,41,28609,Achievement First Rhode Island,Achievement First Providence Mayoral Academy,4400021,4400021,,440002100486.0,462.0,KG-04,2.0,456.42328042328,ADM,11439.15,983.69,15000.79,5221094.36825396,448979.016719576,6846709.78074074,17678.20114,0,0,1,0,0,0,0
RI,2018-2019,41,41604,Achievement First Rhode Island,AF Iluminar Mayoral Middle Sch,4400021,4400021,,440002100527.0,,05-05,2.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,41,28615,Achievement First Rhode Island,AF Providence Mayoral Middle,4400021,4400021,,440002100515.0,201.0,05-07,3.0,201,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,1,01106,Barrington,Barrington High School,4400030,4400030,40300100130100.0,440003000001.0,1101.0,09-12,4.0,1080.26111111111,ADM,14433.68,86.87,16575.19,15592143.1942222,93842.2827222222,17905533.1662777,16322.78779,0,0,1,0,0,0,0
RI,2018-2019,1,01108,Barrington,Barrington Middle School,4400030,4400030,40300100130100.0,440003000002.0,830.0,06-08,3.0,832.744444444444,ADM,12824.05,379.23,15257.93,10679156.3927777,315801.675666666,12705956.4412222,15005.52779,0,0,1,0,0,0,0
RI,2018-2019,1,01105,Barrington,Hampden Meadows School,4400030,4400030,40300100130100.0,440003000003.0,499.0,04-05,2.0,504.083333333333,ADM,11976.61,54.45,14085.6999999999,6037209.49083333,27447.3375,7100366.60833333,13833.29779,0,0,1,0,0,0,0
RI,2018-2019,1,01104,Barrington,Nayatt School,4400030,4400030,40300100130100.0,440003000004.0,327.0,KG-03,2.0,329.866666666666,ADM,13237.08,102.51,15394.23,4366471.456,33814.632,5078043.336,15141.82779,0,0,1,0,0,0,0
RI,2018-2019,1,01103,Barrington,Primrose Hill School,4400030,4400030,40300100130100.0,440003000006.0,312.0,PK-03,2.0,290.361111111111,ADM,14333.49,541.11,16929.25,4161888.0825,157117.300833333,4915595.84027777,16676.84779,0,0,1,0,0,0,0
RI,2018-2019,1,01109,Barrington,Sowams Elementary School,4400030,4400030,40300100130100.0,440003000005.0,250.0,KG-03,2.0,253.333333333333,ADM,15397.14,48.03,17499.81,3900608.8,12167.6,4433285.2,17247.40779,0,0,1,0,0,0,0
RI,2018-2019,58,39601,Beacon Charter School,BEACON Charter School,4400008,4400008,,440000800297.0,229.0,09-12,4.0,225.966666666666,ADM,12302.75,670.23,14807.66,2780011.40833333,151449.639,3346037.57133333,15132.48157,0,0,1,0,0,0,0
RI,2018-2019,58,39603,Beacon Charter School,Founders Academy,4400008,4400008,,440000800493.0,139.0,06-08,3.0,142.122222222222,ADM,10182.5,461.01,12478.19,1447159.52777777,65519.7656666666,1773428.09211111,12803.01157,0,0,1,0,0,0,0
RI,2018-2019,54,26602,Blackstone Academy,Blackstone Academy Charter School,4400036,4400036,,440003600246.0,356.0,09-12,4.0,354.055555555555,ADM,11235.7,790.2,15510.06,3978062.00555555,279774.7,5491422.90999999,15458.31025,0,0,1,0,0,0,0
RI,2018-2019,47,08603,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep Elementary 2 School,4400015,4400015,,440001500480.0,419.0,KG-04,2.0,416.698924731182,ADM,10123.39,520.58,12867.52,4218405.7276344,216925.126236559,5361881.74795698,15391.39875,0,0,1,0,0,0,0
RI,2018-2019,47,08605,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep Elementary 3 School,4400015,4400015,,440001500496.0,226.0,KG-04,2.0,224.596774193548,ADM,11246.04,877.54,14347.13,2525824.30645161,197092.653225806,3222319.11693548,16871.00875,0,0,1,0,0,0,0
RI,2018-2019,47,08601,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep Elementary School,4400015,4400015,,440001500473.0,411.0,KG-04,2.0,411.720430107526,ADM,10671.93,646.75,13542.23,4393851.60967741,266280.188172043,5575612.76021505,16066.10875,0,0,1,0,0,0,0
RI,2018-2019,47,08604,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep High School,4400015,4400015,,440001500488.0,350.0,09-12,4.0,345.956989247311,ADM,10337.08,783.64,13344.27,3576185.0744086,271105.735053763,4616543.47290322,15868.14875,0,0,1,0,0,0,0
RI,2018-2019,47,08606,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep Mid2,4400015,4400015,,440001500513.0,240.0,05-08,3.0,240,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,47,08602,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep Middle School,4400015,4400015,,440001500475.0,319.0,05-08,3.0,319.360215053763,ADM,10595.92,843.61,13663.09,3383915.28989247,269415.471021505,4363447.36069892,16186.96875,0,0,1,0,0,0,0
RI,2018-2019,96,96105,Bristol Warren,Colt Andrews School,4400065,4400065,40500120100000.0,440006500468.0,350.0,KG-05,2.0,349.855555555555,ADM,14007.79,911.95,17955.1,4900703.15255555,319050.773888888,6281691.48555555,16788.75409,0,0,1,0,0,0,0
RI,2018-2019,96,96104,Bristol Warren,Guiteras School,4400065,4400065,40500120100000.0,440006500012.0,253.0,KG-05,2.0,253.727777777777,ADM,14568.92,290.89,17895.18,3696539.69622222,73806.8732777777,4540504.25433333,16728.83409,0,0,1,0,0,0,0
RI,2018-2019,96,96113,Bristol Warren,Hugh Cole School,4400065,4400065,40500120100000.0,440006500278.0,613.0,PK-05,2.0,568.377777777777,ADM,13902.37,1037.07,17974.81,7901798.16644444,589447.541999999,10216482.5637777,16808.46409,0,0,1,0,0,0,0
RI,2018-2019,96,96112,Bristol Warren,Kickemuit Middle School,4400065,4400065,40500120100000.0,440006500282.0,762.0,06-08,3.0,761.15,ADM,14239.85,294.46,17569.68,10838661.8275,224128.229,13373161.932,16403.33409,0,0,1,0,0,0,0
RI,2018-2019,96,96107,Bristol Warren,Mt. Hope High School,4400065,4400065,40500120100000.0,440006500009.0,944.0,09-12,4.0,925.1,ADM,15091.43,322.15,18448.95,13961081.893,298020.964999999,17067123.645,17282.60409,0,0,1,0,0,0,0
RI,2018-2019,96,96106,Bristol Warren,Rockwell School,4400065,4400065,40500120100000.0,440006500016.0,272.0,KG-05,2.0,268.644444444444,ADM,12402.19,265.97,15703.5299999999,3331779.44244444,71451.3628888888,4218666.09266666,14537.18409,0,0,1,0,0,0,0
RI,2018-2019,3,03108,Burrillville,Austin T. Levy School,4400090,4400090,40300400130100.0,440009000018.0,333.0,PK-01,1.0,293.422222222222,ADM,14211.02,694.02,16439.86,4169829.06844444,203640.890666666,4823820.25422222,16771.07891,0,0,1,0,0,0,0
RI,2018-2019,3,03109,Burrillville,Burrillville High School,4400090,4400090,40300400130100.0,440009000019.0,768.0,09-12,4.0,755.427777777777,ADM,13497.71,422.67,15455.1999999999,10196545.0703888,319296.658833333,11675287.3911111,15786.41891,0,0,1,0,0,0,0
RI,2018-2019,3,03104,Burrillville,Burrillville Middle School,4400090,4400090,40300400130100.0,440009000383.0,524.0,06-08,3.0,533.5,ADM,15184.99,,16719.81,8101192.165,,8920018.635,17051.02891,0,0,1,0,0,0,0
RI,2018-2019,3,03105,Burrillville,Steere Farm Elementary School,4400090,4400090,40300400130100.0,440009000057.0,302.0,02-05,2.0,309.494444444444,ADM,14089.92,350.45,15975.1999999999,4360751.96266666,108462.328055555,4944235.64888888,16306.41891,0,0,1,0,0,0,0
RI,2018-2019,3,03107,Burrillville,William L. Callahan School,4400090,4400090,40300400130100.0,440009000022.0,327.0,02-05,2.0,332.105555555555,ADM,11901.68,1186.72,14623.22,3952614.04844444,394116.304888888,4856452.60211111,14954.43891,0,0,1,0,0,0,0
RI,2018-2019,4,04104,Central Falls,Capt. G. Harold Hunt School,4400120,4400120,40000000010300.0,440012000025.0,126.0,PK-PK,1.0,,ADM,23658.45,2496.93,30707.05,,,,29325.50444,0,0,1,0,0,0,0
RI,2018-2019,4,04108,Central Falls,Central Falls Senior High School,4400120,4400120,40000000010300.0,440012000026.0,716.0,09-12,4.0,726.469945355191,ADM,12562.24,2016.15,19130.0599999999,9126089.80633879,1464672.38032786,13897413.6428415,17748.51444,0,0,1,0,0,0,0
RI,2018-2019,4,04115,Central Falls,Dr. Earl F. Calcutt Middle School,4400120,4400120,40000000010300.0,440012000024.0,707.0,05-08,3.0,733.163934426229,ADM,10665.06,1018.87,16235.61,7819237.3504918,746998.737868852,11903363.7054098,14854.06444,0,0,1,0,0,0,0
RI,2018-2019,4,04101,Central Falls,Ella Risk School,4400120,4400120,40000000010300.0,440012000027.0,417.0,KG-04,2.0,426.480874316939,ADM,15435.43,893.46,20880.5599999999,6582915.68185792,381043.601967213,8905159.48502732,19499.01444,0,0,1,0,0,0,0
RI,2018-2019,4,04117,Central Falls,Margaret I. Robertson School,4400120,4400120,40000000010300.0,440012000482.0,,,,206.267759562841,ADM,16726.96,1809.7,23088.33,3450232.56349726,373282.764480874,4762378.10114754,21706.78444,0,0,1,0,0,0,0
RI,2018-2019,4,04112,Central Falls,Raices Dual Language Academy,4400120,4400120,40000000010300.0,440012000529.0,,PK-06,2.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,4,04106,Central Falls,Veterans Memorial Elementary,4400120,4400120,40000000010300.0,440012000385.0,486.0,KG-04,2.0,491.366120218579,ADM,12908.61,1144.76,18605.04,6342853.61311475,562496.27978142,9141886.32131147,17223.49444,0,0,1,0,0,0,0
RI,2018-2019,81,81601,Charette Charter,Charette Charter School,4400037,4400037,,440003700519.0,82.0,09-11,4.0,82,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,98,98106,Chariho,Ashaway Elementary School,4400150,4400150,40500550100000.0,440015000122.0,192.0,KG-04,2.0,193.133333333333,ADM,17583.59,173.22,20711.55,3395977.34866666,33454.556,4000090.69,19963.60292,0,0,1,0,0,0,0
RI,2018-2019,98,98108,Chariho,Chariho Alternative Learning Academy,4400150,4400150,40500550100000.0,440015000286.0,52.0,01-12,4.0,56.6611111111111,ADM,47767.28,2763.7,53485.7199999999,2706547.15955555,156594.312777777,3030560.32377777,52737.77292,0,0,1,0,0,1,0
RI,2018-2019,98,98102,Chariho,Chariho Career and Tech Center,4400150,4400150,40500550100000.0,440015000457.0,,09-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,98,98101,Chariho,Chariho Regional High School,4400150,4400150,40500550100000.0,440015000029.0,1117.0,09-12,4.0,1106.03333333333,ADM,13469.49,197.38,16621.61,14897704.9229999,218308.859333333,18384054.7136666,15873.66292,0,0,1,0,0,0,0
RI,2018-2019,98,98103,Chariho,Chariho Regional Middle School,4400150,4400150,40500550100000.0,440015000386.0,933.0,05-08,3.0,931.133333333333,ADM,14311.24,756.16,18022.14,13325672.6053333,704085.781333333,16781015.292,17274.19292,0,0,1,0,0,0,0
RI,2018-2019,98,98104,Chariho,Charlestown Elementary School,4400150,4400150,40500550100000.0,440015000030.0,245.0,KG-04,2.0,247.872222222222,ADM,16847.86,757.12,20559.72,4176116.49788888,187669.016888888,5096183.48466666,19811.77292,0,0,1,0,0,0,0
RI,2018-2019,98,98107,Chariho,Hope Valley Elementary School,4400150,4400150,40500550100000.0,440015000349.0,283.0,KG-04,2.0,192.1,ADM,15845.8,159.57,18960.11,3043978.17999999,30653.3969999999,3642237.131,18212.16292,0,0,1,0,0,1,0
RI,2018-2019,98,98105,Chariho,Richmond Elementary School,4400150,4400150,40500550100000.0,440015000251.0,392.0,KG-04,2.0,391.161111111111,ADM,15351.59,28.82,18335.15,6004945.00172222,11273.2632222222,7171997.64638888,17587.20292,0,0,1,0,0,0,0
RI,2018-2019,6,06104,Coventry,Alan Shawn Feinstein Middle School Of Coventry,4400210,4400210,40300200130100.0,440021000465.0,1132.0,06-08,3.0,1119.52222222222,ADM,12222.99,485.33,14773.49,13683908.927,543337.720111111,16539250.3547777,14446.1358,0,0,1,0,0,0,0
RI,2018-2019,6,06117,Coventry,Blackrock School,4400210,4400210,40300200130100.0,440021000031.0,350.0,KG-05,2.0,348.644444444444,ADM,14000.15,611.07,16676.3799999999,4881074.51888888,213046.160666666,5814127.24044444,16349.0258,0,0,1,0,0,0,0
RI,2018-2019,6,06119,Coventry,Coventry High School,4400210,4400210,40300200130100.0,440021000032.0,1475.0,09-12,4.0,1463.43888888888,ADM,13903.15,195.5,16163.82,20346410.3880555,286102.302777777,23654762.781,15836.4658,0,0,1,0,0,0,0
RI,2018-2019,6,06112,Coventry,Hopkins Hill School,4400210,4400210,40300200130100.0,440021000035.0,371.0,KG-05,2.0,368.161111111111,ADM,13324.84,639.25,16029.26,4905687.89977777,235346.990277777,5901350.17188888,15701.9058,0,0,1,0,0,0,0
RI,2018-2019,6,06123,Coventry,The Regional Career and Tech,4400210,4400210,40300200130100.0,440021000355.0,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,6,06116,Coventry,Tiogue School,4400210,4400210,40300200130100.0,440021000365.0,363.0,KG-05,2.0,353.866666666666,ADM,14513.68,979.76,17558.61,5135907.56266666,346704.405333333,6213406.792,17231.2558,0,0,1,0,0,0,0
RI,2018-2019,6,06121,Coventry,Washington Oak School,4400210,4400210,40300200130100.0,440021000034.0,662.0,PK-05,2.0,525.938888888888,ADM,12601.34,325.04,14991.55,6627534.75811111,170951.176444444,7884639.14972222,14664.1958,0,0,1,0,0,0,0
RI,2018-2019,6,06109,Coventry,Western Coventry School,4400210,4400210,40300200130100.0,440021000041.0,349.0,KG-05,2.0,350.905555555555,ADM,13345.72,393.65,15804.54,4683087.29088888,138133.971944444,5545900.889,15477.1858,0,0,1,0,0,0,0
RI,2018-2019,7,07125,Cranston,Arlington School,4400240,4400240,40200400230100.0,440024000042.0,226.0,PK-05,2.0,210.033333333333,ADM,12135.78,1609.22,17011.7816778697,2548918.326,337989.840666666,3573041.21174191,15923.17514,0,0,1,0,0,0,0
RI,2018-2019,7,07112,Cranston,Chester W. Barrows School,4400240,4400240,40200400230100.0,440024000043.0,,,,155.238888888888,ADM,12032.61,947.5,16246.9016778697,1867929.00683333,147088.847222222,2522150.96435952,15158.29514,0,0,1,0,0,0,0
RI,2018-2019,7,07132,Cranston,Cranston Career & Tech Center,4400240,4400240,40200400230100.0,440024000458.0,,11-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,7,07104,Cranston,Cranston Early Learning Center,4400240,4400240,40200400230100.0,440024000509.0,24.0,PK-PK,1.0,24,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,0,0,1,0,0,1,0
RI,2018-2019,7,07113,Cranston,Cranston High School East,4400240,4400240,40200400230100.0,440024000044.0,1682.0,09-12,4.0,1642.98888888888,ADM,13891.19,75.7,17233.6716778697,22823070.8234444,124374.258888888,28314731.0814991,16145.06514,0,0,1,0,0,0,0
RI,2018-2019,7,07126,Cranston,Cranston High School West,4400240,4400240,40200400230100.0,440024000045.0,1493.0,09-12,4.0,1464.00555555555,ADM,12662.71,38.45,15967.9416778697,18538277.7883888,56291.0136111111,23377155.3271884,14879.33514,0,0,1,0,0,0,0
RI,2018-2019,7,07110,Cranston,Daniel D. Waterman School,4400240,4400240,40200400230100.0,440024000046.0,247.0,KG-05,2.0,249.294444444444,ADM,11856.24,140.34,15263.3616778697,2955694.764,34985.9823333333,3805071.26983917,14174.75514,0,0,1,0,0,0,0
RI,2018-2019,7,07118,Cranston,Eden Park School,4400240,4400240,40200400230100.0,440024000047.0,274.0,KG-05,2.0,276.088888888888,ADM,10917.76,788.8,14973.3416778697,3014272.22755555,217778.915555555,4133973.26679675,13884.73514,0,0,1,0,0,0,0
RI,2018-2019,7,07130,Cranston,Edgewood Highland School,4400240,4400240,40200400230100.0,440024000048.0,252.0,PK-05,2.0,232.783333333333,ADM,14502.27,1208.9,18977.9516778697,3375886.7515,281411.771666666,4417750.85141345,17889.34514,0,0,1,0,0,0,0
RI,2018-2019,7,07117,Cranston,Edward S. Rhodes School,4400240,4400240,40200400230100.0,440024000049.0,174.0,KG-05,2.0,174.244444444444,ADM,13720.57,20.18,17007.5316778697,2390733.09711111,3516.25288888888,2963467.90858171,15918.92514,0,0,1,0,0,0,0
RI,2018-2019,7,07122,Cranston,Garden City School,4400240,4400240,40200400230100.0,440024000050.0,281.0,PK-05,2.0,268.888888888888,ADM,12694.88,81.14,16042.8016778697,3413512.17777777,21817.6444444444,4313731.1178272,14954.19514,0,0,1,0,0,0,0
RI,2018-2019,7,07124,Cranston,George J. Peters School,4400240,4400240,40200400230100.0,440024000351.0,308.0,KG-05,2.0,308.022222222222,ADM,11248.63,557.55,15072.9616778697,3464828.00955555,171737.79,4642807.15148784,13984.35514,0,0,1,0,0,0,0
RI,2018-2019,7,07119,Cranston,Gladstone Street School,4400240,4400240,40200400230100.0,440024000051.0,497.0,KG-05,2.0,508.277777777777,ADM,10666.17,1665.6,15598.5516778697,5421377.185,846587.466666666,7928397.18337947,14509.94514,0,0,1,0,0,0,0
RI,2018-2019,7,07128,Cranston,Glen Hills School,4400240,4400240,40200400230100.0,440024000052.0,257.0,KG-05,2.0,255.777777777777,ADM,13229.46,364.22,16860.4716778697,3383801.88,93159.3822222222,4312533.97805069,15771.86514,0,0,1,0,0,0,0
RI,2018-2019,7,07137,Cranston,Hope Highlands Middle School,4400240,4400240,40200400230100.0,440024000504.0,379.0,06-08,3.0,381.805555555555,ADM,14556.11,95.59,17918.4816778697,5557603.66527777,36496.7930555555,6841375.85173111,16829.87514,0,0,1,0,0,0,0
RI,2018-2019,7,07115,Cranston,Hugh B. Bain Middle School,4400240,4400240,40200400230100.0,440024000053.0,612.0,06-08,3.0,625.472222222222,ADM,13953.77,1170.19,18390.7416778697,8727695.53027777,731921.339722222,11502898.065572,17302.13514,0,0,1,0,0,0,0
RI,2018-2019,7,07135,Cranston,NEL/CPS Construction Career Academy,4400240,4400240,40200400230100.0,440024000229.0,175.0,09-12,4.0,165.494444444444,ADM,13949.84,69.94,17286.5616778697,2308621.02088888,11574.6814444444,2860829.92123368,16197.95514,0,0,1,0,0,0,0
RI,2018-2019,7,07103,Cranston,Oak Lawn School,4400240,4400240,40200400230100.0,440024000059.0,222.0,KG-05,2.0,221.305555555555,ADM,11908.11,100.69,15275.5816778697,2635330.89916666,22283.2563888888,3380571.08965523,14186.97514,0,0,1,0,0,0,0
RI,2018-2019,7,07136,Cranston,Orchard Farms Elementary School,4400240,4400240,40200400230100.0,440024000277.0,455.0,KG-05,2.0,451.45,ADM,12234.99,58.37,15560.1316778697,5523486.23549999,26351.1364999999,7024621.44597431,14471.52514,0,0,1,0,0,0,0
RI,2018-2019,7,07123,Cranston,Park View Middle School,4400240,4400240,40200400230100.0,440024000060.0,690.0,06-08,3.0,691.944444444444,ADM,14107.48,416.66,17790.9216778697,9761592.41111111,288305.572222222,12310329.4165482,16702.31514,0,0,1,0,0,0,0
RI,2018-2019,7,07120,Cranston,Stadium School,4400240,4400240,40200400230100.0,440024000063.0,264.0,PK-05,2.0,254.144444444444,ADM,13650.71,1431.37,18348.8716778697,3469252.10922222,363774.733444444,4663263.79875461,17260.26514,0,0,1,0,0,0,0
RI,2018-2019,7,07127,Cranston,Stone Hill School,4400240,4400240,40200400230100.0,440024000064.0,281.0,PK-05,2.0,275.366666666666,ADM,13430.9,299.76,16997.4416778697,3698422.16333333,82543.912,4680528.85669607,15908.83514,0,0,1,0,0,0,0
RI,2018-2019,7,07129,Cranston,Western Hills Middle School,4400240,4400240,40200400230100.0,440024000067.0,768.0,06-08,3.0,761.861111111111,ADM,14074.62,186.89,17528.2916778697,10722905.6316666,142384.223055555,13354123.7735815,16439.68514,0,0,1,0,0,0,0
RI,2018-2019,7,07116,Cranston,William R. Dutemple School,4400240,4400240,40200400230100.0,440024000068.0,299.0,KG-05,2.0,296.388888888888,ADM,9230.48,928.35,13425.6116778697,2735811.71111111,275152.625,3979202.12785751,12337.00514,0,0,1,0,0,0,0
RI,2018-2019,7,07121,Cranston,Woodridge School,4400240,4400240,40200400230100.0,440024000069.0,301.0,KG-05,2.0,303.555555555555,ADM,11441.52,15.2,14723.5016778697,3473136.96,4614.04444444444,4469400.73154891,13634.89514,0,0,1,0,0,0,0
RI,2018-2019,8,08112,Cumberland,Ashton School,4400270,4400270,40300400230100.0,440027000070.0,290.0,KG-05,2.0,287.061111111111,ADM,11724.09,683.91,15592.1,3365530.30216666,196323.9645,4475885.55055555,14604.6188,0,0,1,0,0,0,0
RI,2018-2019,8,08107,Cumberland,B.F. Norton Elementary School,4400270,4400270,40300400230100.0,440027000039.0,355.0,KG-05,2.0,352.916666666666,ADM,14124.68,1033.22,18342,4984834.98333333,364640.558333333,6473197.49999999,17354.5188,0,0,1,0,0,0,0
RI,2018-2019,8,08109,Cumberland,Community School,4400270,4400270,40300400230100.0,440027000075.0,610.0,KG-05,2.0,609.216666666666,ADM,9994.77,191.49,13370.36,6088980.4635,116658.8995,8145446.15133333,12382.8788,0,0,1,0,0,0,0
RI,2018-2019,8,08114,Cumberland,Cumberland High School,4400270,4400270,40300400230100.0,440027000076.0,1430.0,09-12,4.0,1418.51111111111,ADM,12672.19,76.28,15932.57,17975642.3171111,108204.027555555,22600527.5735555,14945.0888,0,0,1,0,0,0,0
